ip_destination	port_destination	ip_source	port_source	handshake
 205.204.101.142	 https	 192.168.1.125	 59179	client_hello
 205.204.101.142	 https	 192.168.1.125	 59180	client_hello
 192.168.1.125	 59179	 205.204.101.142	 https	server_hello
 192.168.1.125	 59180	 205.204.101.142	 https	server_hello
 205.204.101.142	 https	 192.168.1.125	 59179	client_key_exchange
 205.204.101.142	 https	 192.168.1.125	 59179	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 59179	application_data
 205.204.101.142	 https	 192.168.1.125	 59179	application_data
 205.204.101.142	 https	 192.168.1.125	 59180	client_key_exchange
 205.204.101.142	 https	 192.168.1.125	 59180	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 59180	application_data
 192.168.1.125	 59179	 205.204.101.142	 https	change_cipher_spec
 192.168.1.125	 59179	 205.204.101.142	 https	application_data
 192.168.1.125	 59179	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 59179	application_data
 192.168.1.125	 59179	 205.204.101.142	 https	application_data
 192.168.1.125	 59180	 205.204.101.142	 https	change_cipher_spec
 192.168.1.125	 59180	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 59180	application_data
 192.168.1.125	 59180	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 59179	application_data
 192.168.1.125	 59179	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 59311	client_hello
 192.168.1.125	 59311	 205.204.101.142	 https	server_hello
 192.168.1.125	 59311	 205.204.101.142	 https	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 59311	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 59311	application_data
 205.204.101.142	 https	 192.168.1.125	 59311	application_data
 192.168.1.125	 59311	 205.204.101.142	 https	application_data
 192.168.1.125	 59311	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 59311	application_data
 192.168.1.125	 59311	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 59387	client_hello
 205.204.101.142	 https	 192.168.1.125	 59386	client_hello
 192.168.1.125	 59387	 205.204.101.142	 https	server_hello
 205.204.101.142	 https	 192.168.1.125	 59387	client_key_exchange
 205.204.101.142	 https	 192.168.1.125	 59387	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 59387	application_data
 205.204.101.142	 https	 192.168.1.125	 59387	application_data
 192.168.1.125	 59386	 205.204.101.142	 https	server_hello
 205.204.101.142	 https	 192.168.1.125	 59386	client_key_exchange
 205.204.101.142	 https	 192.168.1.125	 59386	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 59386	application_data
 192.168.1.125	 59387	 205.204.101.142	 https	change_cipher_spec
 192.168.1.125	 59387	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 59387	application_data
 192.168.1.125	 59387	 205.204.101.142	 https	application_data
 192.168.1.125	 59387	 205.204.101.142	 https	application_data
 192.168.1.125	 59386	 205.204.101.142	 https	change_cipher_spec
 192.168.1.125	 59386	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 59386	application_data
 205.204.101.142	 https	 192.168.1.125	 59471	client_hello
 205.204.101.142	 https	 192.168.1.125	 59470	client_hello
 192.168.1.125	 59471	 205.204.101.142	 https	server_hello
 205.204.101.142	 https	 192.168.1.125	 59471	client_key_exchange
 205.204.101.142	 https	 192.168.1.125	 59471	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 59471	application_data
 205.204.101.142	 https	 192.168.1.125	 59471	application_data
 192.168.1.125	 59471	 205.204.101.142	 https	change_cipher_spec
 192.168.1.125	 59471	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 59471	application_data
 192.168.1.125	 59471	 205.204.101.142	 https	application_data
 192.168.1.125	 59471	 205.204.101.142	 https	application_data
 192.168.1.125	 59470	 205.204.101.142	 https	server_hello
 205.204.101.142	 https	 192.168.1.125	 59470	client_key_exchange
 205.204.101.142	 https	 192.168.1.125	 59470	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 59470	application_data
 192.168.1.125	 59470	 205.204.101.142	 https	change_cipher_spec
 192.168.1.125	 59470	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 59470	application_data
 205.204.101.142	 https	 192.168.1.125	 59471	application_data
 192.168.1.125	 59471	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 59684	client_hello
 192.168.1.125	 59684	 205.204.101.142	 https	server_hello
 205.204.101.142	 https	 192.168.1.125	 59684	client_key_exchange
 205.204.101.142	 https	 192.168.1.125	 59684	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 59684	application_data
 205.204.101.142	 https	 192.168.1.125	 59684	application_data
 192.168.1.125	 59684	 205.204.101.142	 https	change_cipher_spec
 192.168.1.125	 59684	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 59684	application_data
 192.168.1.125	 59684	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 59738	client_hello
 205.204.101.142	 https	 192.168.1.125	 59737	client_hello
 192.168.1.125	 59738	 205.204.101.142	 https	server_hello
 192.168.1.125	 59738	 205.204.101.142	 https	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 59738	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 59738	application_data
 205.204.101.142	 https	 192.168.1.125	 59738	application_data
 192.168.1.125	 59737	 205.204.101.142	 https	server_hello
 192.168.1.125	 59737	 205.204.101.142	 https	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 59737	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 59737	application_data
 192.168.1.125	 59738	 205.204.101.142	 https	application_data
 192.168.1.125	 59738	 205.204.101.142	 https	application_data
 192.168.1.125	 59738	 205.204.101.142	 https	application_data
 192.168.1.125	 59737	 205.204.101.142	 https	application_data
 192.168.1.125	 59737	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 59737	application_data
 205.204.101.142	 https	 192.168.1.125	 59738	application_data
 205.204.101.142	 https	 192.168.1.125	 60373	client_hello
 205.204.101.142	 https	 192.168.1.125	 60374	client_hello
 192.168.1.125	 60374	 205.204.101.142	 https	server_hello
 205.204.101.142	 https	 192.168.1.125	 60374	client_key_exchange
 205.204.101.142	 https	 192.168.1.125	 60374	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 60374	application_data
 205.204.101.142	 https	 192.168.1.125	 60374	application_data
 192.168.1.125	 60373	 205.204.101.142	 https	server_hello
 205.204.101.142	 https	 192.168.1.125	 60373	client_key_exchange
 205.204.101.142	 https	 192.168.1.125	 60373	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 60373	application_data
 192.168.1.125	 60374	 205.204.101.142	 https	change_cipher_spec
 192.168.1.125	 60374	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 60374	application_data
 192.168.1.125	 60374	 205.204.101.142	 https	application_data
 192.168.1.125	 60373	 205.204.101.142	 https	change_cipher_spec
 192.168.1.125	 60373	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 60373	application_data
 205.204.101.142	 https	 192.168.1.125	 60374	application_data
 192.168.1.125	 60374	 205.204.101.142	 https	application_data
