ip_destination	port_destination	ip_source	port_source	handshake
 205.204.101.142	 https	 192.168.1.125	 60374	application_data
 192.168.1.125	 60374	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 60893	client_hello
 205.204.101.142	 https	 192.168.1.125	 60894	client_hello
 192.168.1.125	 60894	 205.204.101.142	 https	server_hello
 205.204.101.142	 https	 192.168.1.125	 60894	client_key_exchange
 205.204.101.142	 https	 192.168.1.125	 60894	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 60894	application_data
 205.204.101.142	 https	 192.168.1.125	 60894	application_data
 192.168.1.125	 60893	 205.204.101.142	 https	server_hello
 205.204.101.142	 https	 192.168.1.125	 60893	client_key_exchange
 205.204.101.142	 https	 192.168.1.125	 60893	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 60893	application_data
 192.168.1.125	 60894	 205.204.101.142	 https	change_cipher_spec
 192.168.1.125	 60894	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 60894	application_data
 192.168.1.125	 60894	 205.204.101.142	 https	application_data
 192.168.1.125	 60893	 205.204.101.142	 https	change_cipher_spec
 192.168.1.125	 60893	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 60893	application_data
 205.204.101.142	 https	 192.168.1.125	 61134	client_hello
 192.168.1.125	 61134	 205.204.101.142	 https	server_hello
 205.204.101.142	 https	 192.168.1.125	 61134	client_key_exchange
 205.204.101.142	 https	 192.168.1.125	 61134	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 61134	certificate
 205.204.101.142	 https	 192.168.1.125	 61134	application_data
 205.204.101.142	 https	 192.168.1.125	 61134	application_data
 192.168.1.125	 61134	 205.204.101.142	 https	change_cipher_spec
 192.168.1.125	 61134	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 61134	application_data
 192.168.1.125	 61134	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 61438	client_hello
 205.204.101.142	 https	 192.168.1.125	 61439	client_hello
 192.168.1.125	 61438	 205.204.101.142	 https	server_hello
 205.204.101.142	 https	 192.168.1.125	 61438	client_key_exchange
 205.204.101.142	 https	 192.168.1.125	 61438	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 61438	application_data
 205.204.101.142	 https	 192.168.1.125	 61438	application_data
 192.168.1.125	 61439	 205.204.101.142	 https	server_hello
 205.204.101.142	 https	 192.168.1.125	 61439	client_key_exchange
 205.204.101.142	 https	 192.168.1.125	 61439	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 61439	application_data
 192.168.1.125	 61438	 205.204.101.142	 https	change_cipher_spec
 192.168.1.125	 61438	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 61438	application_data
 192.168.1.125	 61438	 205.204.101.142	 https	application_data
 192.168.1.125	 61439	 205.204.101.142	 https	change_cipher_spec
 192.168.1.125	 61439	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 61439	application_data
 205.204.101.142	 https	 192.168.1.125	 62138	client_hello
 205.204.101.142	 https	 192.168.1.125	 62139	client_hello
 192.168.1.125	 62139	 205.204.101.142	 https	server_hello
 192.168.1.125	 62138	 205.204.101.142	 https	server_hello
 205.204.101.142	 https	 192.168.1.125	 62139	client_key_exchange
 205.204.101.142	 https	 192.168.1.125	 62139	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 62139	application_data
 205.204.101.142	 https	 192.168.1.125	 62139	application_data
 205.204.101.142	 https	 192.168.1.125	 62138	client_key_exchange
 205.204.101.142	 https	 192.168.1.125	 62138	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 62138	client_key_exchange
 205.204.101.142	 https	 192.168.1.125	 62138	application_data
 192.168.1.125	 62139	 205.204.101.142	 https	change_cipher_spec
 192.168.1.125	 62139	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 62139	application_data
 192.168.1.125	 62138	 205.204.101.142	 https	change_cipher_spec
 192.168.1.125	 62138	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 62138	application_data
 192.168.1.125	 62139	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 62301	client_hello
 192.168.1.125	 62301	 205.204.101.142	 https	server_hello
 192.168.1.125	 62301	 205.204.101.142	 https	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 62301	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 62301	application_data
 192.168.1.125	 62301	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 62301	application_data
 192.168.1.125	 62301	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 62301	application_data
 192.168.1.125	 62301	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 62301	application_data
 192.168.1.125	 62301	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 62359	client_hello
 192.168.1.125	 62359	 205.204.101.142	 https	server_hello
 192.168.1.125	 62359	 205.204.101.142	 https	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 62359	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 62359	application_data
 192.168.1.125	 62359	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 62359	application_data
 192.168.1.125	 62359	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 62359	application_data
 192.168.1.125	 62359	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 62359	application_data
 192.168.1.125	 62359	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 62460	client_hello
 192.168.1.125	 62460	 205.204.101.142	 https	server_hello
 192.168.1.125	 62460	 205.204.101.142	 https	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 62460	change_cipher_spec
 205.204.101.142	 https	 192.168.1.125	 62460	application_data
 205.204.101.142	 https	 192.168.1.125	 62460	application_data
 192.168.1.125	 62460	 205.204.101.142	 https	application_data
 205.204.101.142	 https	 192.168.1.125	 62460	application_data
 192.168.1.125	 62460	 205.204.101.142	 https	application_data
 192.168.1.125	 62460	 205.204.101.142	 https	application_data
